Object_ID, Length, Assignment
140-44,62,NA
208-38,87,NA
216-37,121,NA
218-37,60,NA
223-37,75,NA
302-32,122,NA
451-27,122,NA
516-26,144,NA
540-25,124,NA
573-25,96,NA
601-24,124,NA
648-23,120,NA
662-23,73,NA
716-22,123,NA
718-22,89,NA
739-22,121,NA
763-21,100,NA
794-21,78,NA
810-21,98,NA
811-21,74,NA
853-20,123,NA
877-20,126,NA
888-20,80,NA
1031-18,81,NA
1047-18,125,NA
1058-18,114,NA
1198-16,83,NA
1290-16,70,NA
1305-15,67,NA
1495-14,138,NA
1608-13,116,NA
1731-13,64,NA
1860-12,85,NA
1874-12,72,NA
1879-12,79,NA
1893-12,129,NA
1911-12,104,NA
2056-11,90,NA
2081-11,136,NA
2204-10,97,NA
2262-10,88,NA
2316-10,88,NA
2324-10,133,NA
2352-10,117,NA
2370-9,117,NA
2427-9,76,NA
2446-9,160,NA
2475-9,154,NA
2495-9,130,NA
2573-9,137,NA
2618-9,118,NA
2685-8,122,NA
2730-8,118,NA
2739-8,90,NA
2770-8,65,NA
2775-8,156,NA
2784-8,140,NA
2836-8,134,NA
2841-8,101,NA
2851-8,123,NA
2873-8,145,NA
2931-8,77,NA
3019-7,118,NA
3044-7,61,NA
3049-7,68,NA
3050-7,110,NA
3288-7,135,NA
3325-7,128,NA
3348-7,116,NA
3375-7,119,NA
3442-6,133,NA
3445-6,84,NA
3534-6,99,NA
3558-6,63,NA
3589-6,112,NA
3599-6,89,NA
3603-6,86,NA
3641-6,86,NA
3668-6,148,NA
3686-6,86,NA
3761-6,127,NA
3777-6,108,NA
3844-6,84,NA
3850-6,169,NA
3856-6,63,NA
3932-6,117,NA
3971-6,99,NA
3972-6,68,NA
3976-6,100,NA
4052-5,152,NA
4247-5,66,NA
4308-5,61,NA
4310-5,147,NA
4332-5,155,NA
4360-5,109,NA
4363-5,99,NA
4455-5,143,NA
4457-5,155,NA
4479-5,159,NA
4507-5,104,NA
4524-5,146,NA
4557-5,168,NA
4620-5,150,NA
4646-5,115,NA
4650-5,78,NA
4953-5,114,NA
4961-5,161,NA
4970-5,93,NA
5017-5,126,NA
5027-5,158,NA
5127-4,151,NA
5131-4,136,NA
5316-4,173,NA
5556-4,153,NA
5606-4,117,NA
5693-4,145,NA
5715-4,177,NA
5904-4,72,NA
5917-4,125,NA
5946-4,173,NA
6106-4,139,NA
6136-4,96,NA
6158-4,132,NA
6163-4,102,NA
6202-4,70,NA
6216-4,72,NA
